title,price,M.R.P,Reviews,Ratings,link
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty","33,990","₹54,900",149,4.0 out of 5 stars,/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_3?dib=eyJ2IjoiMSJ9.W7bW7g4thLB-e0wC9e-KBgxB2ZVH0DySGrSPpcvs0E7YcsSkJPMh--HjL4kgpucx0GY43uaNT7r0Ur1k4PHxTYnfLw9sI2GeZhO2UF_C2E8dv3e1KcPjAg2sOe166P7TeJBJHAbm9SMk0MpSHkSLSqY0e7BppasHAGWSJkJvZcPkFpr8HJJyqquj8zpgNQ_HVdtVzsbgdcQzQPeUmfN9zHqLZ-HjGDdFFBsGqZZQJDg.a9UYAu_ztuw2yNpkdBPDMMjIjwxVmbUJcGpPE0tQA2M&dib_tag=se&keywords=lenovo+laptop&nsdOptOutParam=true&qid=1757672287&sr=8-3
"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN","23,970","₹80,990",591,3.9 out of 5 stars,/Lenovo-Celeron-1920x1080-Antiglare-82QYA00MIN/dp/B0C28FKJXG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.W7bW7g4thLB-e0wC9e-KBgxB2ZVH0DySGrSPpcvs0E7YcsSkJPMh--HjL4kgpucx0GY43uaNT7r0Ur1k4PHxTYnfLw9sI2GeZhO2UF_C2E8dv3e1KcPjAg2sOe166P7TeJBJHAbm9SMk0MpSHkSLSqY0e7BppasHAGWSJkJvZcPkFpr8HJJyqquj8zpgNQ_HVdtVzsbgdcQzQPeUmfN9zHqLZ-HjGDdFFBsGqZZQJDg.a9UYAu_ztuw2yNpkdBPDMMjIjwxVmbUJcGpPE0tQA2M&dib_tag=se&keywords=lenovo+laptop&nsdOptOutParam=true&qid=1757672287&sr=8-4
"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6 inch (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Arctic Grey/1.63Kg), 82RK00VWIN","32,900","₹55,190",136,4.1 out of 5 stars,/Lenovo-IdeaPad-39-62cm-Windows-82RK00VWIN/dp/B0CR7WG86N/ref=sr_1_5?dib=eyJ2IjoiMSJ9.W7bW7g4thLB-e0wC9e-KBgxB2ZVH0DySGrSPpcvs0E7YcsSkJPMh--HjL4kgpucx0GY43uaNT7r0Ur1k4PHxTYnfLw9sI2GeZhO2UF_C2E8dv3e1KcPjAg2sOe166P7TeJBJHAbm9SMk0MpSHkSLSqY0e7BppasHAGWSJkJvZcPkFpr8HJJyqquj8zpgNQ_HVdtVzsbgdcQzQPeUmfN9zHqLZ-HjGDdFFBsGqZZQJDg.a9UYAu_ztuw2yNpkdBPDMMjIjwxVmbUJcGpPE0tQA2M&dib_tag=se&keywords=lenovo+laptop&nsdOptOutParam=true&qid=1757672287&sr=8-5
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6 inch (39.6cm) FHD Laptop (16GB RAM/512GB SSD/Windows 11/Office Home 2024/1Yr ADP Free/Grey/1.62Kg), 83ER00KPIN/83ER00KRIN","49,400","₹72,690",278,3.9 out of 5 stars,/Lenovo-IdeaPad-i5-12450H-Windows-83ER00KPIN/dp/B0DR96PF63/ref=sr_1_6?dib=eyJ2IjoiMSJ9.W7bW7g4thLB-e0wC9e-KBgxB2ZVH0DySGrSPpcvs0E7YcsSkJPMh--HjL4kgpucx0GY43uaNT7r0Ur1k4PHxTYnfLw9sI2GeZhO2UF_C2E8dv3e1KcPjAg2sOe166P7TeJBJHAbm9SMk0MpSHkSLSqY0e7BppasHAGWSJkJvZcPkFpr8HJJyqquj8zpgNQ_HVdtVzsbgdcQzQPeUmfN9zHqLZ-HjGDdFFBsGqZZQJDg.a9UYAu_ztuw2yNpkdBPDMMjIjwxVmbUJcGpPE0tQA2M&dib_tag=se&keywords=lenovo+laptop&nsdOptOutParam=true&qid=1757672287&sr=8-6
"Lenovo Ideapad 1 N4500 15.6 Inch (39.6Cm) HD Laptop (8GB RAM/512GB SSD/Windows 11/Intel/3 Month Game Pass/Grey/1.55Kg), 82LX00F7IN","26,190","₹36,590",5,3.6 out of 5 stars,/Lenovo-Ideapad-39-6Cm-Windows-82LX00F7IN/dp/B0F8QDP5MK/ref=sr_1_7?dib=eyJ2IjoiMSJ9.W7bW7g4thLB-e0wC9e-KBgxB2ZVH0DySGrSPpcvs0E7YcsSkJPMh--HjL4kgpucx0GY43uaNT7r0Ur1k4PHxTYnfLw9sI2GeZhO2UF_C2E8dv3e1KcPjAg2sOe166P7TeJBJHAbm9SMk0MpSHkSLSqY0e7BppasHAGWSJkJvZcPkFpr8HJJyqquj8zpgNQ_HVdtVzsbgdcQzQPeUmfN9zHqLZ-HjGDdFFBsGqZZQJDg.a9UYAu_ztuw2yNpkdBPDMMjIjwxVmbUJcGpPE0tQA2M&dib_tag=se&keywords=lenovo+laptop&nsdOptOutParam=true&qid=1757672287&sr=8-7
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (Free MS Office) Lifetime (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) 1 Year Brand Warranty, 83CRA01SIN","44,989","₹1,12,999",98,3.8 out of 5 stars,/Lenovo-V15-Antiglare-Lifetime-83CRA01SIN/dp/B0DDY1HWZL/ref=sr_1_8?dib=eyJ2IjoiMSJ9.W7bW7g4thLB-e0wC9e-KBgxB2ZVH0DySGrSPpcvs0E7YcsSkJPMh--HjL4kgpucx0GY43uaNT7r0Ur1k4PHxTYnfLw9sI2GeZhO2UF_C2E8dv3e1KcPjAg2sOe166P7TeJBJHAbm9SMk0MpSHkSLSqY0e7BppasHAGWSJkJvZcPkFpr8HJJyqquj8zpgNQ_HVdtVzsbgdcQzQPeUmfN9zHqLZ-HjGDdFFBsGqZZQJDg.a9UYAu_ztuw2yNpkdBPDMMjIjwxVmbUJcGpPE0tQA2M&dib_tag=se&keywords=lenovo+laptop&nsdOptOutParam=true&qid=1757672287&sr=8-8
"Lenovo 14 (2025), Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.4 kg/MSO 2021/1 Year ADP Warranty","44,990","₹99,990",,,/Lenovo-14-Intel-Core-1235U/dp/B0F833LYHT/ref=sr_1_9?dib=eyJ2IjoiMSJ9.W7bW7g4thLB-e0wC9e-KBgxB2ZVH0DySGrSPpcvs0E7YcsSkJPMh--HjL4kgpucx0GY43uaNT7r0Ur1k4PHxTYnfLw9sI2GeZhO2UF_C2E8dv3e1KcPjAg2sOe166P7TeJBJHAbm9SMk0MpSHkSLSqY0e7BppasHAGWSJkJvZcPkFpr8HJJyqquj8zpgNQ_HVdtVzsbgdcQzQPeUmfN9zHqLZ-HjGDdFFBsGqZZQJDg.a9UYAu_ztuw2yNpkdBPDMMjIjwxVmbUJcGpPE0tQA2M&dib_tag=se&keywords=lenovo+laptop&nsdOptOutParam=true&qid=1757672287&sr=8-9
"Lenovo Ideapad 1 AMD Ryzen 5 5625U (16GB RAM/512GB SSD/Windows 11/Office Home 2024/15.6 Inch (39.6Cm)/FHD IPS Display/3Months Game Pass/Grey/1.6Kg), 82R4011CIN/0DIN Laptop","38,500","₹85,000","2,437",4.0 out of 5 stars,/Lenovo-Ideapad-Windows-Display-82R4011CIN/dp/B0DT3SBQM7/ref=sr_1_10?dib=eyJ2IjoiMSJ9.W7bW7g4thLB-e0wC9e-KBgxB2ZVH0DySGrSPpcvs0E7YcsSkJPMh--HjL4kgpucx0GY43uaNT7r0Ur1k4PHxTYnfLw9sI2GeZhO2UF_C2E8dv3e1KcPjAg2sOe166P7TeJBJHAbm9SMk0MpSHkSLSqY0e7BppasHAGWSJkJvZcPkFpr8HJJyqquj8zpgNQ_HVdtVzsbgdcQzQPeUmfN9zHqLZ-HjGDdFFBsGqZZQJDg.a9UYAu_ztuw2yNpkdBPDMMjIjwxVmbUJcGpPE0tQA2M&dib_tag=se&keywords=lenovo+laptop&nsdOptOutParam=true&qid=1757672287&sr=8-10
"Lenovo LOQ 2024 13th Gen Core i7-13650HX | NVIDIA RTX 4060 8GB (24GB RAM/512GB SSD/15.6"" (39.6cm)/Windows 11/Office Home 2024/100% sRGB/3 Mon. Game Pass/Grey/2.4Kg), 83DV00X8IN Gaming Laptop","1,00,690","₹1,45,790",12,4.4 out of 5 stars,/Lenovo-i7-13650HX-NVIDIA-Windows-83DV00X8IN/dp/B0DPQJNQJ6/ref=sr_1_13?dib=eyJ2IjoiMSJ9.W7bW7g4thLB-e0wC9e-KBgxB2ZVH0DySGrSPpcvs0E7YcsSkJPMh--HjL4kgpucx0GY43uaNT7r0Ur1k4PHxTYnfLw9sI2GeZhO2UF_C2E8dv3e1KcPjAg2sOe166P7TeJBJHAbm9SMk0MpSHkSLSqY0e7BppasHAGWSJkJvZcPkFpr8HJJyqquj8zpgNQ_HVdtVzsbgdcQzQPeUmfN9zHqLZ-HjGDdFFBsGqZZQJDg.a9UYAu_ztuw2yNpkdBPDMMjIjwxVmbUJcGpPE0tQA2M&dib_tag=se&keywords=lenovo+laptop&nsdOptOutParam=true&qid=1757672287&sr=8-13
"Lenovo Ideapad Slim 3 13Th Gen Intel Core I5-13420H 15.3""(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/3 Mon. Game Pass/Grey/1.6Kg) 83K100C6IN","57,000","₹85,000",1,5.0 out of 5 stars,/Lenovo-Ideapad-I5-13420H-Keyboard-83K100C6IN/dp/B0FBGS6ZW8/ref=sr_1_14?dib=eyJ2IjoiMSJ9.W7bW7g4thLB-e0wC9e-KBgxB2ZVH0DySGrSPpcvs0E7YcsSkJPMh--HjL4kgpucx0GY43uaNT7r0Ur1k4PHxTYnfLw9sI2GeZhO2UF_C2E8dv3e1KcPjAg2sOe166P7TeJBJHAbm9SMk0MpSHkSLSqY0e7BppasHAGWSJkJvZcPkFpr8HJJyqquj8zpgNQ_HVdtVzsbgdcQzQPeUmfN9zHqLZ-HjGDdFFBsGqZZQJDg.a9UYAu_ztuw2yNpkdBPDMMjIjwxVmbUJcGpPE0tQA2M&dib_tag=se&keywords=lenovo+laptop&nsdOptOutParam=true&qid=1757672287&sr=8-14
