Amount,Description,Place
"250,000 ֏ monthly","4 room apartment on Zakaria Kanakertsi Street, 80 sq.m., second to last floor, euro renovation","Kanaker-Zeytun, 4 rm., 80 sq.m., 4/5 floor"
"420,000 ֏ monthly","2 room apartment in a new building on Rostom Street, 53 sq.m., 8/14 floor, high ceilings","Kentron, 2 rm., 53 sq.m., 8/14 floor"
"270,000 ֏ monthly","3 room apartment on Zavaryan Street, 100 sq.m., multiple balconies, cosmetic renovation","Kentron, 3 rm., 100 sq.m., 3/3 floor"
"330,000 ֏ monthly","3 room apartment in a new building on Avetis Aharonyan Street, 96 sq.m., second to last floor","Kanaker-Zeytun, 3 rm., 96 sq.m., 14/15 floor"
"$2,200 monthly","3 room apartment in a new building on Northern Avenue, 120 sq.m., 6/12 floor, 2 bathrooms","Kentron, 3 rm., 120 sq.m., 6/12 floor"
"250,000 ֏ monthly","4 room apartment on Komitas Avenue, 82 sq.m., major renovation, stone building","Arabkir, 4 rm., 82 sq.m., 5/5 floor"
"380,000 ֏ monthly","3 room apartment in a new building on Anastas Mikoyan Street, 110 sq.m., 3/14 floor, 2 bathrooms","Davtashen, 3 rm., 110 sq.m., 3/14 floor"
"$1,500 monthly","3 room apartment on Tamanyan Street, 100 sq.m., 3/5 floor, high ceilings, major renovation","Kentron, 3 rm., 100 sq.m., 3/5 floor"
"100,000 ֏ monthly","1 room apartment in a new building, Մուշ 2-2 թաղամաս, 42 sq.m., 2/4 floor, major renovation","Gyumri, 1 rm., 42 sq.m., 2/4 floor"
"$1,200 monthly","2 room apartment in a new building on Amiryan Street, 43 sq.m., 5/12 floor, high ceilings","Kentron, 2 rm., 43 sq.m., 5/12 floor"
"550,000 ֏ monthly","3 room apartment in a new building on Davit Malyan Street, 120 sq.m., second to last floor","Avan, 3 rm., 120 sq.m., 2/3 floor"
"340,000 ֏ monthly","2 room apartment in a new building on Arshakunyats Avenue, 62 sq.m., 11/18 floor","Kentron, 2 rm., 62 sq.m., 11/18 floor"
"380,000 ֏ monthly","3 room apartment in a new building on Hrachya Nersisyan Street, 120 sq.m., 11/18 floor, 2 bathrooms","Kanaker-Zeytun, 3 rm., 120 sq.m., 11/18 floor"
"480,000 ֏ monthly","2 room apartment in a new building on Aram Khachatryan Street, 70 sq.m., 14/16 floor, high ceilings","Arabkir, 2 rm., 70 sq.m., 14/16 floor"
"150,000 ֏ monthly","1 room apartment on Azatutyan Avenue, 35 sq.m., 3/5 floor, high ceilings, stone building","Kanaker-Zeytun, 1 rm., 35 sq.m., 3/5 floor"
"450,000 ֏ monthly","4 room apartment on Tumanyan Street, 98 sq.m., second to last floor, multiple balconies","Kentron, 4 rm., 98 sq.m., 4/5 floor"
"240,000 ֏ monthly","3 room apartment on Aram Khachatryan Street, 100 sq.m., high ceilings, multiple balconies","Arabkir, 3 rm., 100 sq.m., 13/13 floor"
"150,000 ֏ monthly","1 room apartment in a new building on Khachik Muradyan Street, 35 sq.m., 5/8 floor, major renovation","Tsakhkadzor, 1 rm., 35 sq.m., 5/8 floor"
"230,000 ֏ monthly","2 room apartment on Leningradyan Street, 33 sq.m., second to last floor, euro renovation","Ajapnyak, 2 rm., 33 sq.m., 3/4 floor"
"100,000 ֏ monthly","1 room apartment in a new building, Trdat Chartarapet Street, 43 sq.m., euro renovation","Gyumri, 1 rm., 43 sq.m., 4/4 floor"
"280,000 ֏ monthly","3 room apartment in Sayat-Nova District, 80 sq.m., 7/9 floor, major renovation","Avan, 3 rm., 80 sq.m., 7/9 floor"
"240,000 ֏ monthly","2 room apartment on Sasuntsi Davit Street, 58 sq.m., 1/5 floor, high ceilings, euro renovation","Erebuni, 2 rm., 58 sq.m., 1/5 floor"
"$2,800 monthly","3 room apartment in a new building on Northern Avenue, 120 sq.m., second to last floor, 2 bathrooms","Kentron, 3 rm., 120 sq.m., 8/9 floor"
"400,000 ֏ monthly","3 room apartment in a new building on Orbeli Brothers Street, 100 sq.m., second to last floor","Arabkir, 3 rm., 100 sq.m., 8/9 floor"
"300,000 ֏ monthly","1 room apartment on Tumanyan Street, 43 sq.m., 6/12 floor, high ceilings, major renovation","Kentron, 1 rm., 43 sq.m., 6/12 floor"
"250,000 ֏ monthly","2 room apartment on Tigran Mets Avenue, 70 sq.m., high ceilings, designer renovation, stone building","Erebuni, 2 rm., 70 sq.m., 4/4 floor"
"150,000 ֏ monthly","2 room apartment on Garegin Nzhdeh Avenue, 35 sq.m., high ceilings, euro renovation, stone building","Gyumri, 2 rm., 35 sq.m., 3/3 floor"
"250,000 ֏ monthly","Spacious 1 room apartment in a new building on Zoravar Andranik Street, 55 sq.m.","Malatia-Sebastia, 1 rm., 55 sq.m., 2/3 floor"
"250,000 ֏ monthly","1 room apartment in a new building on Zoravar Andranik Street, 35 sq.m., 1/3 floor, high ceilings","Malatia-Sebastia, 1 rm., 35 sq.m., 1/3 floor"
"150,000 ֏ monthly","1 room apartment in a new building, Central Square, 50 sq.m., 2/2 floor, high ceilings","Masis, 1 rm., 50 sq.m., 2/2 floor"
"230,000 ֏ monthly","1 room apartment in a new building on Pirumyanner Street, 36 sq.m., 2/4 floor, high ceilings","Davtashen, 1 rm., 36 sq.m., 2/4 floor"
"220,000 ֏ monthly","2 room apartment in Norashen Quarter, 60 sq.m., second to last floor, euro renovation","Ajapnyak, 2 rm., 60 sq.m., 15/16 floor"
"110,000 ֏ monthly","3 room apartment in a new building, in Gyumri, 66 sq.m., 2/4 floor, major renovation","Gyumri, 3 rm., 66 sq.m., 2/4 floor"
"445,000 ֏ monthly","3 room apartment in a new building on Mamikonyants Street, 95 sq.m., 3/18 floor, high ceilings","Arabkir, 3 rm., 95 sq.m., 3/18 floor"
"350,000 ֏ monthly","3 room apartment in a new building on Mamikonyants Street, 65 sq.m., 3/18 floor, high ceilings","Arabkir, 3 rm., 65 sq.m., 3/18 floor"
"135,000 ֏ monthly","2 room apartment in a new building on Khachik Muradyan Street, 55 sq.m., high ceilings","Tsakhkadzor, 2 rm., 55 sq.m., 8/8 floor"
"199,000 ֏ monthly","3 room apartment in a new building, Khachik Muradyan Street, 100 sq.m., second to last floor","Tsakhkadzor, 3 rm., 100 sq.m., 7/8 floor"
"120,000 ֏ monthly","2 room apartment in Taperakan, 65 sq.m., 2/2 floor, 2 bathrooms, high ceilings, major renovation","Taperakan, 2 rm., 65 sq.m., 2/2 floor"
"$3,500 monthly","4 room apartment in a new building, Aram Street, 180 sq.m., 7/16 floor, 2 bathrooms, high ceilings","Kentron, 4 rm., 180 sq.m., 7/16 floor"
"80,000 ֏ monthly","1 room apartment in Vanadzor, 43 sq.m., cosmetic renovation, stone building","Vanadzor, 1 rm., 43 sq.m., 5/5 floor"
"$1,650 monthly","3 room apartment on Abovyan Street, 95 sq.m., 3/6 floor, high ceilings, major renovation","Kentron, 3 rm., 95 sq.m., 3/6 floor"
"160,000 ֏ monthly","2 room apartment in a new building on Titov Street, 27 sq.m., 1/2 floor, major renovation","Malatia-Sebastia, 2 rm., 27 sq.m., 1/2 floor"
"130,000 ֏ monthly","1 room apartment in a new building on Titov Street, 20 sq.m., 1/2 floor, major renovation","Malatia-Sebastia, 1 rm., 20 sq.m., 1/2 floor"
"420,000 ֏ monthly","3 room apartment in a new building on Ghapantsyan Street, 91 sq.m., second to last floor","Arabkir, 3 rm., 91 sq.m., 15/16 floor"
