title,author_name,length
Game of Nines,"James Patterson,Max DiLallo",Length: 3 hrs and 27 mins
Without a Hitch,Portia MacIntosh,Length: 7 hrs and 32 mins
I Love You Like It's 1999,A. J. Pine,Length: 5 hrs and 44 mins
The Chateau,Avery Bishop,Length: 7 hrs and 32 mins
Shiv Puran (Hindi Edition),Dr. Vinay,Length: 7 hrs and 54 mins
21 Shreshth Kahaniyan Prem Chand (Hindi Edition),Munshi Premchand,Length: 7 hrs and 44 mins
Complete Chanakya Neeti,R.P. Jain,Length: 4 hrs
The Audio Quran (Full-Cast Edition),Abdullah Yusuf Ali - translator,Length: 22 hrs
Ramayana Banaam Mahabharata [Ramayana vs. Mahabharata],Devdutt Pattanaik,Length: 6 hrs and 19 mins
Sahaj Yog,OSHO,Length: 37 hrs and 10 mins
The Quick and Easy Way to Effective Speaking,Dale Carnegie,Length: 6 hrs and 39 mins
Why I Am an Atheist and Other Works,Bhagat Singh,Length: 3 hrs
Gaban [Embezzlement],Munshi Premchand,Length: 11 hrs and 36 mins
My Experiments with Truth,Mohandas K. Gandhi,Length: 19 hrs and 11 mins
Art of Seduction,Robert Greene,Length: 22 hrs and 51 mins
Satya Ke Sath Mere Prayog [My Experiment with Truth],M. K. Gandhi,Length: 22 hrs and 54 mins
The Bhagwat Gita,R.R. Varma,Length: 21 hrs and 32 mins
Ashtavakra Mahagita Vol. 2,OSHO,Length: 16 hrs and 9 mins
"Master Your Time, Master Your Life",Brian Tracy,Length: 4 hrs and 2 mins
Middlebridge Mysteries,Ken Cuperus,Length: 3 hrs and 38 mins
"The Sandman, Act I (Hindi Edition)","Neil Gaiman,Dirk Maggs",Length: 11 hrs and 3 mins
Panchatantra (Hindi Edition),Vishnu Sharma,Length: 5 hrs and 41 mins
My Gita,Devdutt Pattanaik,Length: 6 hrs and 15 mins
Why I Am a Hindu,Shashi Tharoor,Length: 13 hrs and 2 mins
Kautilya Arthshastra (Hindi Edition),Chanakya,Length: 6 hrs
Kalki Puran (Hindi Edition),Dr. Vinay,Length: 6 hrs and 10 mins
Valmiki Ramayan (Hindi Edition),Valmiki,Length: 7 hrs and 17 mins
Sherlock Holmes: The Definitive Collection,"Stephen Fry - introductions,Arthur Conan Doyle",Length: 71 hrs and 57 mins
Mahabharat Katha [Mahabharata Story],Amritlal Nagar,Length: 10 hrs and 41 mins
Untapped,Dakota Krout,Length: 17 hrs and 59 mins
Ramayana (Hindi Edition),Anand Neelakantan,Length: 15 hrs and 15 mins
Pride and Prejudice,Jane Austen,Length: 11 hrs and 35 mins
Arthashastra,Kautilya,Length: 20 hrs and 31 mins
The Blue Umbrella,Ruskin Bond,Length: 51 mins
Mitāhāra,Rujuta Diwekar,Length: 4 hrs and 37 mins
How to Talk to Anyone (Hindi Edition),Leil Lowndes,Length: 10 hrs and 19 mins
Autobiography of a Yogi (Hindi Edition),Paramahansa Yogananda,Length: 23 hrs and 46 mins
The Vacation,Kathryn Croft,Length: 4 hrs and 44 mins
P. G. Wodehouse Volume 2,P. G. Wodehouse,Length: 45 hrs and 27 mins
The Girl in Room 105 (Hindi Edition),Chetan Bhagat,Length: 5 hrs and 19 mins
Purple Hibiscus,Chimamanda Ngozi Adichie,Length: 10 hrs and 53 mins
The Summer Girl,Jenny Blackhurst,Length: 7 hrs and 59 mins
A Selection of the Cases of Sherlock Holmes,Arthur Conan Doyle,Length: 4 hrs and 55 mins
So My Ex-Boyfriend Is a Serial Killer,Kylie Scott,Length: 6 hrs and 18 mins
Dharmayoddha Kalki: Avatar of Vishnu,Kevin Missal,Length: 12 hrs and 34 mins
Think and Grow Rich,Napoleon Hill,Length: 9 hrs and 35 mins
Satyajit Ray Ki Kahaniyan [Stories of Satyajit Ray],Satyajit Rai,Length: 8 hrs and 12 mins
The Mystwick School of Musicraft,Jessica Khoury,Length: 8 hrs and 18 mins
50 Worlds Greatest Short Stories,Fingerprint Publications,Length: 18 hrs and 55 mins
The Jane Austen Collection,Jane Austen,Length: 45 hrs
The Power of Habit (Hindi Edition),Charles Duhigg,Length: 13 hrs and 23 mins
Cinderella,Audible Studios,Length: 18 mins
101 Essays That Will Change the Way You Think,Brianna Wiest,Length: 10 hrs and 45 mins
Sunderkand (Hindi Edition),Goswami Tulsidas,Length: 3 hrs and 23 mins
Dream With Your Eyes Open,Ronnie Screwvala,Length: 7 hrs and 19 mins
The 10X Rule,Grant Cardone,Length: 7 hrs and 24 mins
One Arranged Murder (Hindi Edition),Chetan Bhagat,Length: 5 hrs and 40 mins
Hamlet,William Shakespeare,Length: 7 hrs and 14 mins
