title,plot,transcript,url
A Volcano Odyssey (2012) - full transcript,"Follow the story of 65 million years of evolution around a volcanic hotspot in the Indian Ocean. These catastrophic events have shaped life as we know it, from the smallest microbes to the largest beasts to ever live, the dinosaurs.","
            ",https://subslikescript.com/movie/A_Volcano_Odyssey-2484180
Wichita (1955) - full transcript,"In 1874, after noticing the total lawlessness in Wichita, Wyatt Earp reluctantly accepts the Marshal's job and runs into the worst local troublemakers.","
            ",https://subslikescript.com/movie/Wichita-48806
Danny Deckchair (2003) - full transcript,An Aussie becomes a national sensation when he lifts off in his deck chair tied to balloons.,"
            ",https://subslikescript.com/movie/Danny_Deckchair-337960
De Dana Dan (2009) - full transcript,Two down on their luck men tries to kidnap a wealthy businesswoman's dog to demand a hefty ransom from her. Things goes haywire when the dog goes missing.,"
            ",https://subslikescript.com/movie/De_Dana_Dan-1255951
What a Wonderful World (2014) - full transcript,"After two years spent as a student in Boston, a 22-year-old visits his native Moldova. It is April 2009. People gather in the streets of Chisinau, the call having spread through social networking sites. They are demonstrating against the communist authorities who falsified the election results. They seize and plunder the parliament and presidential buildings. The demonstrators carry away documents, furniture and office equipment. Our protagonist is coming from a friend's home carrying his own computer monitor. He is mistaken for a demonstrator, brutally beaten up by the police and taken to the police station. His interrogator is an experienced major. The authorities can do anything. Based on real events, the film asks questions about freedom, justice and the price of human life.","
            ",https://subslikescript.com/movie/What_a_Wonderful_World-3858500
Daleko nebo (1982) - full transcript,"A youth has a burning ambition to be a pilot, but this is met with opposition by his mother because his father, also a pilot, was killed in a jet-fighter crash in a storm. The youth goes ahead with his career but one day he encounters a bad storm.","
            ",https://subslikescript.com/movie/Daleko_nebo-83784
Lafayette (1962) - full transcript,"During the American War of Independence, French officer and nobleman La Fayette comes to America's aid with men, money and weapons and becomes a Major-General under George Washington's command.","
            ",https://subslikescript.com/movie/Lafayette-55070
Hitch-Hike (2013) - full transcript,"The brutal Yoshio and his quiet young wife Saeko are on a road trip. Their drive takes a wrong turn when Yoshio decides to pick up a hitchhiker along the way. When the man reveals himself as a deranged bank robber and serial killer, the couple will be forced to cooperate in his getaway. Now it's Saeko's turn to take revenge on the man who drove her through hell!","
            ",https://subslikescript.com/movie/Hitch-Hike-4679916
Lord of Misrule (2023) - full transcript,A desperate search for the young daughter of the town's new minister.,"
            ",https://subslikescript.com/movie/Lord_of_Misrule-11893676
Støvsugerbanden (1963) - full transcript,"A gang of elderly pensioners carry out a number of spectacular heists, involving a vacuum cleaner and a sewer suction machine.","
            ",https://subslikescript.com/movie/Stvsugerbanden-123282
This Above All (1942) - full transcript,"Although she comes from an aristocratic family, beautiful Prudence Cathaway defies convention by joining the WAAFs and becoming romantically involved with an AWOL soldier.","
            ",https://subslikescript.com/movie/This_Above_All-35431
Achanoru Vazha Vechu (2023) - full transcript,"A father and son struggle to understand each other as their opposing perspectives drive a wedge between them, impacting their family.","
            ",https://subslikescript.com/movie/Achanoru_Vazha_Vechu-27044964
