name,price,rating,reviews
Asus VivoBook...,$295.99,3,14
Prestigio Smar...,$299,2,8
Prestigio Smar...,$299,4,12
Aspire E1-510,$306.99,3,2
Lenovo V110-15...,$321.94,3,5
Lenovo V110-15...,$356.49,2,6
Hewlett Packar...,$364.46,1,12
Acer Aspire 3...,$372.7,2,2
Acer Aspire A3...,$379.94,2,0
Acer Aspire ES...,$379.95,4,9
Acer Aspire 3...,$391.48,4,10
Acer Aspire 3...,$393.88,3,9
Asus VivoBook...,$399,1,4
Asus VivoBook...,$399.99,4,3
Lenovo ThinkPa...,$404.23,1,12
Acer Aspire 3...,$408.98,4,10
Lenovo V110-15...,$409.63,3,9
Acer Aspire ES...,$410.46,4,14
Asus VivoBook...,$410.66,4,4
Packard 255 G2,$416.99,2,2
Asus EeeBook R...,$433.3,1,1
Acer Aspire 3...,$436.29,1,1
Acer Aspire ES...,$436.29,1,2
Acer Extensa 1...,$439.73,4,6
Acer Aspire ES...,$454.62,1,9
Lenovo V110-15...,$454.73,2,2
Acer Aspire A3...,$457.38,3,9
Lenovo V110-15...,$465.95,1,7
Asus VivoBook...,$468.56,3,1
Acer Aspire ES...,$469.1,3,5
Lenovo V510 Bl...,$484.23,3,8
Acer Aspire ES...,$485.9,3,6
Lenovo V510 Bl...,$487.8,2,9
Acer Swift 1 S...,$488.64,3,4
Dell Vostro 15,$488.78,4,14
Acer Aspire 3...,$494.71,4,2
Dell Vostro 15...,$497.17,1,9
Lenovo V510 Bl...,$498.23,3,5
HP 250 G3,$520.99,2,13
Acer Spin 5,$564.98,2,0
HP 350 G1,$577.99,2,10
Aspire E1-572G,$581.99,1,2
Pavilion,$609.99,1,4
Acer Aspire A5...,$679,2,9
Dell Inspiron...,$679,2,7
Asus VivoBook...,$729,1,2
ProBook,$739.99,4,8
Inspiron 15,$745.99,3,12
Asus ROG STRIX...,$799,2,7
Acer Nitro 5 A...,$809,1,0
Asus ROG STRIX...,$899,1,7
Lenovo ThinkPa...,$999,3,11
ThinkPad Yoga,$1033.99,2,13
Lenovo ThinkPa...,$1096.02,4,14
Dell Inspiron...,$1098.42,1,7
MSI GL72M 7RDX,$1099,4,1
MSI GL72M 7RDX,$1099,1,9
Asus ROG Strix...,$1101.83,2,4
Dell Latitude...,$1102.66,1,8
Dell Latitude...,$1110.14,3,4
Lenovo Legion...,$1112.91,4,1
Toshiba Porteg...,$1114.55,1,0
Acer Predator...,$1123.87,2,1
Acer Aspire 7...,$1123.87,2,4
Dell Inspiron...,$1124.2,3,10
Dell Latitude...,$1133.82,4,14
Lenovo Legion...,$1133.91,1,13
Asus AsusPro A...,$1139.54,3,7
Acer Nitro 5 A...,$1140.62,3,14
Dell Latitude...,$1143.4,4,5
Dell Inspiron...,$1144.2,1,2
Dell Latitude...,$1144.4,3,10
Lenovo Legion...,$1149,3,11
MSI GP62M 7RDX...,$1149,1,11
Lenovo Yoga 72...,$1149.73,2,12
Toshiba Porteg...,$1154.04,1,7
Acer TravelMat...,$1170.1,1,0
Dell Latitude...,$1178.19,3,6
ThinkPad T540p,$1178.99,1,2
MSI GS63 7RD S...,$1179,1,2
Dell Latitude...,$1187.88,3,5
Acer Predator...,$1187.98,3,14
MSI GL62M 7REX,$1199,1,7
MSI GL62M 7REX...,$1199,2,12
Lenovo Yoga 91...,$1199.73,3,7
Toshiba Porteg...,$1203.41,4,13
Lenovo IdeaPad...,$1212.16,4,0
Acer Predator...,$1221.58,1,9
ThinkPad Yoga,$1223.99,3,2
Asus VivoBook...,$1235.49,2,10
Dell Latitude...,$1238.37,2,0
Asus ZenBook U...,$1239.2,1,14
ThinkPad X230,$1244.99,3,10
Asus ROG Strix...,$1259,4,7
Apple MacBook...,$1260.13,4,8
Dell Latitude...,$1271.06,1,13
Hewlett Packar...,$1273.11,3,8
Dell XPS 13,$1281.99,3,4
Toshiba Porteg...,$1294.74,1,6
MSI GL62VR 7RF...,$1299,3,1
Dell Latitude...,$1310.39,3,8
ThinkPad X240,$1311.99,3,12
Hewlett Packar...,$1326.83,1,2
Apple MacBook...,$1333,1,0
Dell Latitude...,$1337.28,1,6
Dell Latitude...,$1338.37,2,11
Dell Latitude...,$1341.22,3,3
Apple MacBook...,$1347.78,2,11
Lenovo ThinkPa...,$1349.23,1,5
Lenovo ThinkPa...,$1362.24,2,12
Toshiba Porteg...,$1366.32,1,11
Asus ASUSPRO B...,$1381.13,1,4
Lenovo Legion...,$1399,3,8
Asus ROG Strix...,$1399,3,10
Asus ROG Strix...,$1769,4,7
Asus ROG Strix...,$1769,1,8
Asus ROG Strix...,$1799,3,8
